raw_timestamp,relative_to_unix_epoch_timestamp,RightFoot_pos_x,RightFoot_pos_y,RightFoot_pos_z,RightFoot_rot_x,RightFoot_rot_y,RightFoot_rot_z,RightFoot_rot_w,LeftFoot_pos_x,LeftFoot_pos_y,LeftFoot_pos_z,LeftFoot_rot_x,LeftFoot_rot_y,LeftFoot_rot_z,LeftFoot_rot_w,Waist_pos_x,Waist_pos_y,Waist_pos_z,Waist_rot_x,Waist_rot_y,Waist_rot_z,Waist_rot_w,LeftHand_pos_x,LeftHand_pos_y,LeftHand_pos_z,LeftHand_rot_x,LeftHand_rot_y,LeftHand_rot_z,LeftHand_rot_w,RightHand_pos_x,RightHand_pos_y,RightHand_pos_z,RightHand_rot_x,RightHand_rot_y,RightHand_rot_z,RightHand_rot_w,LeftHand_trigger_pressed,LeftHand_grip_pressed,LeftHand_grabbed_name,RightHand_trigger_pressed,RightHand_grip_pressed,RightHand_grabbed_name,model_name
1768994504665,19.31768,0.1400596,0.009073257,-0.1486754,0.7411357,0.6499324,0.166702,0.02272221,0.1255655,0.003815651,0.2465937,0.1780454,0.7186142,0.6423351,-0.1982404,,,,,,,,1.314657,1.082661,0.2681767,-0.4437162,0.7791778,-0.01099972,0.4425797,1.332398,1.068701,0.2741237,0.05759436,0.3909431,0.4390042,0.8069211,False,False,None,False,False,None,None
1768994504676,19.33602,0.1399939,0.009066105,-0.148807,0.7411209,0.6499501,0.1666966,0.02273932,0.1255893,0.003909111,0.2464089,0.1780816,0.7186477,0.6422891,-0.1982352,,,,,,,,1.314558,1.082646,0.2680658,-0.4442314,0.7789533,-0.01075308,0.4424644,1.332302,1.068798,0.2738954,0.05746055,0.3911116,0.4395888,0.8065307,False,False,None,False,False,None,None
1768994504686,19.34671,0.1399474,0.009078503,-0.1488657,0.7411062,0.6499668,0.166692,0.02277366,0.1256354,0.003963947,0.2464533,0.1780996,0.7186339,0.6422833,-0.1982878,,,,,,,,1.31453,1.082749,0.2680597,-0.4441604,0.7790212,-0.0106838,0.4424177,1.332321,1.068862,0.2739205,0.05750752,0.3913172,0.4396125,0.8064147,False,False,None,False,False,None,None
1768994504696,19.35649,0.1399347,0.009221554,-0.1489616,0.7411179,0.6499671,0.1666409,0.02275792,0.1255773,0.003951788,0.2464161,0.1780779,0.7186527,0.6422665,-0.1982938,,,,,,,,1.314499,1.082763,0.2680442,-0.4440435,0.7791101,-0.01068479,0.4423784,1.33238,1.068851,0.2738944,0.0575883,0.3914831,0.4394618,0.8064106,False,False,None,False,False,None,None
1768994504707,19.36757,0.1399651,0.009243488,-0.1487588,0.7411041,0.6499699,0.1666897,0.02276673,0.1254117,0.004074812,0.2466728,0.1780444,0.7186176,0.6423025,-0.1983342,,,,,,,,1.314449,1.082751,0.2681555,-0.4438446,0.7792377,-0.01069535,0.442353,1.332367,1.068812,0.2740766,0.05756415,0.3914687,0.4391725,0.8065768,False,False,None,False,False,None,None
1768994504718,19.37877,0.1400316,0.009138107,-0.1487089,0.7410943,0.6499863,0.1666741,0.02273355,0.1255018,0.003926754,0.2467348,0.1780641,0.718619,0.6423057,-0.198301,,,,,,,,1.314446,1.08269,0.2681367,-0.4438759,0.7791883,-0.01089025,0.4424039,1.332272,1.068792,0.2739957,0.05741622,0.3914314,0.4392273,0.8065757,False,False,None,False,False,None,None
1768994504730,19.39057,0.1400465,0.009153128,-0.1487589,0.7411083,0.6499701,0.1666739,0.02274281,0.125509,0.003906488,0.2467621,0.1780654,0.7186607,0.6422687,-0.198269,,,,,,,,1.314429,1.082656,0.2680694,-0.4439549,0.7790955,-0.01091651,0.4424874,1.332214,1.068816,0.2740157,0.05734176,0.3913888,0.4393114,0.8065559,False,False,None,False,False,None,None
1768994504742,19.40276,0.1400026,0.009138346,-0.1487457,0.7410888,0.6499929,0.1666739,0.02272525,0.1254431,0.003871679,0.246573,0.1780898,0.7186265,0.6422813,-0.1983301,,,,,,,,1.31447,1.082595,0.2680993,-0.4435972,0.7791554,-0.01103135,0.4427378,1.332218,1.068742,0.2739257,0.05761633,0.3914887,0.4390191,0.8066469,False,False,None,False,False,None,None
1768994504754,19.41439,0.1400613,0.009108543,-0.1487116,0.7411095,0.6499671,0.1666756,0.02277969,0.1255828,0.003786325,0.2466031,0.1780852,0.7186376,0.6422699,-0.1983306,,,,,,,,1.314542,1.082553,0.2681428,-0.443164,0.7793093,-0.01109854,0.442899,1.332255,1.068682,0.2739612,0.05772933,0.3913804,0.438807,0.8068068,False,False,None,False,False,None,None
1768994504767,19.42676,0.1400599,0.009129286,-0.1488147,0.7410889,0.6499828,0.1667153,0.02270913,0.1255783,0.003726244,0.246577,0.1780634,0.7186593,0.6422565,-0.1983151,,,,,,,,1.314588,1.082566,0.2681229,-0.4430761,0.7792917,-0.01125244,0.4430139,1.332286,1.068662,0.2739111,0.05768061,0.3914048,0.4385501,0.8069381,False,False,None,False,False,None,None
1768994504777,19.43829,0.1401267,0.009212017,-0.1488397,0.7410989,0.6499848,0.1666598,0.02273466,0.1256157,0.003880739,0.2464649,0.1780857,0.7186814,0.6422343,-0.198287,,,,,,,,1.314687,1.082599,0.2681031,-0.4428285,0.7793906,-0.01141172,0.4430836,1.332317,1.068631,0.2739874,0.05767614,0.391302,0.4381289,0.807217,False,False,None,False,False,None,None
1768994504790,19.4501,0.1400828,0.009189129,-0.1488639,0.7411081,0.6499562,0.1667214,0.02279839,0.1255945,0.003870726,0.2464344,0.1780768,0.7186755,0.642225,-0.1983466,,,,,,,,1.314756,1.082582,0.2681106,-0.4424616,0.7795541,-0.01153903,0.4431592,1.332311,1.068566,0.2740279,0.0577201,0.3911374,0.4376201,0.8075696,False,False,None,False,False,None,None
1768994504802,19.46255,0.1400391,0.009132385,-0.1487243,0.7410774,0.6500042,0.1666733,0.02278172,0.1254715,0.003910542,0.2465675,0.1780411,0.7186545,0.6422507,-0.1983716,,,,,,,,1.314736,1.08256,0.2681615,-0.442215,0.7796983,-0.01161467,0.4431498,1.332344,1.068517,0.2741275,0.05782026,0.3910778,0.4371925,0.8078229,False,False,None,False,False,None,None
1768994504812,19.47382,0.1399854,0.009173155,-0.148715,0.7411005,0.6499774,0.1666779,0.02275586,0.1253967,0.003919601,0.2465903,0.177997,0.7186727,0.6422443,-0.1983657,,,,,,,,1.31476,1.082628,0.2682301,-0.4423251,0.7795981,-0.01162033,0.443216,1.332222,1.068543,0.2741749,0.05762177,0.3909962,0.4374119,0.8077577,False,False,None,False,False,None,None
1768994504826,19.48583,0.139989,0.009164572,-0.1485815,0.7410648,0.6500087,0.1667153,0.02275117,0.1254237,0.004004478,0.2467174,0.1780272,0.7186791,0.6422344,-0.1983473,,,,,,,,1.31468,1.082649,0.2683631,-0.4427696,0.7794013,-0.01162565,0.443118,1.332211,1.068616,0.2742694,0.05751633,0.3910022,0.4376198,0.8076497,False,False,None,False,False,None,None
1768994504837,19.49806,0.139979,0.009035349,-0.1486025,0.741088,0.6499943,0.1666709,0.0227352,0.1253874,0.004018307,0.2466527,0.1780136,0.7186708,0.6422557,-0.1983209,,,,,,,,1.314673,1.082663,0.2683436,-0.4430603,0.7792394,-0.01156729,0.4431138,1.332408,1.068443,0.2740986,0.05780411,0.391408,0.4376882,0.8073955,False,False,None,False,False,None,None
1768994504849,19.50941,0.1399313,0.009011269,-0.148696,0.7410471,0.6500278,0.1667201,0.02274859,0.1253657,0.003995419,0.2466116,0.1780713,0.7186489,0.6422647,-0.198319,,,,,,,,1.314641,1.082571,0.2682809,-0.4432422,0.7792505,-0.0114079,0.4429164,1.332506,1.068393,0.2740704,0.05806238,0.39159,0.4378074,0.807224,False,False,None,False,False,None,None
1768994504861,19.52158,0.1399645,0.009121418,-0.1487432,0.7410516,0.650024,0.1667094,0.0227905,0.1253884,0.004004955,0.2466056,0.1780598,0.7186839,0.6422361,-0.1982952,,,,,,,,1.314546,1.082571,0.2682479,-0.4436482,0.7791172,-0.01122167,0.4427491,1.33239,1.068499,0.2740187,0.05805567,0.3917301,0.438306,0.8068859,False,False,None,False,False,None,None
1768994504873,19.53363,0.1398976,0.009044886,-0.1486793,0.7410275,0.6500471,0.1667312,0.022756,0.1253568,0.003966093,0.2466697,0.1780169,0.7186846,0.64225,-0.1982862,,,,,,,,1.314463,1.082664,0.2682205,-0.4440605,0.7789679,-0.01098193,0.4426046,1.33235,1.068565,0.2740091,0.0578655,0.3918216,0.4388686,0.8065493,False,False,None,False,False,None,None
1768994504885,19.54599,0.1398978,0.009077311,-0.148702,0.7410198,0.6500629,0.1667084,0.02272291,0.1253654,0.003987551,0.2466642,0.1780739,0.7186682,0.6422641,-0.1982488,,,,,,,,1.314335,1.082614,0.2681761,-0.4444453,0.7788434,-0.01081948,0.4424413,1.332239,1.068619,0.2740245,0.05776471,0.3918937,0.4395539,0.8061482,False,False,None,False,False,None,None
1768994504897,19.55787,0.1398625,0.009085894,-0.1486598,0.7410206,0.6500703,0.1666753,0.0227276,0.1253508,0.003957987,0.2467275,0.1780401,0.718695,0.6422426,-0.1982518,,,,,,,,1.314326,1.08266,0.2681437,-0.4443031,0.7789701,-0.01074224,0.4423629,1.332244,1.068737,0.2740052,0.05773972,0.3920792,0.4395658,0.8060533,False,False,None,False,False,None,None
1768994504910,19.56988,0.1398655,0.009162664,-0.14871,0.7410061,0.6500877,0.1666687,0.02274982,0.1254181,0.003995895,0.2465967,0.1781023,0.7187126,0.6422077,-0.1982453,,,,,,,,1.314291,1.082641,0.268069,-0.4442002,0.7790877,-0.01077176,0.4422584,1.332243,1.068714,0.273958,0.05771345,0.3921253,0.4389102,0.8063899,False,False,None,False,False,None,None
1768994504921,19.58226,0.1398748,0.009196758,-0.1487644,0.7410375,0.6500812,0.1665661,0.02266262,0.1254333,0.003996372,0.2466932,0.1780086,0.7186997,0.6422551,-0.1982223,,,,,,,,1.314326,1.082679,0.2680753,-0.4440961,0.7791114,-0.01091189,0.4423178,1.33218,1.068816,0.2739582,0.05765918,0.3920887,0.4389606,0.8063843,False,False,None,False,False,None,None
1768994504933,19.59379,0.1400573,0.009191751,-0.148725,0.7410359,0.6500652,0.166632,0.02268972,0.1255578,0.003903866,0.2466983,0.1779951,0.7186496,0.6423038,-0.1982585,,,,,,,,1.314343,1.082681,0.2680781,-0.4439694,0.7791438,-0.01102516,0.4423852,1.332164,1.068834,0.2739577,0.05768904,0.3920721,0.4389298,0.806407,False,False,None,False,False,None,None
1768994504946,19.60598,0.1400367,0.009178162,-0.1488103,0.7410027,0.6501063,0.1666225,0.02266773,0.1255468,0.003821135,0.2465071,0.1780468,0.7187123,0.6422354,-0.198206,,,,,,,,1.314313,1.082639,0.2680761,-0.4436898,0.7791783,-0.01116072,0.4426014,1.332205,1.068686,0.2738369,0.05777622,0.3919562,0.438873,0.806488,False,False,None,False,False,None,None
1768994504957,19.61759,0.1401162,0.009182692,-0.1487944,0.7410079,0.6501022,0.1666039,0.02274792,0.1255699,0.003833771,0.24658,0.178051,0.7186844,0.6422625,-0.1982157,,,,,,,,1.314699,1.082403,0.2680871,-0.4431603,0.7792969,-0.01132837,0.4429188,1.33234,1.068641,0.2738685,0.05801328,0.3919186,0.4383759,0.8067595,False,False,None,False,False,None,None
1768994504970,19.63029,0.1401259,0.0091784,-0.1488436,0.7410161,0.6500914,0.1666001,0.02281906,0.1256016,0.003948927,0.2465513,0.1780203,0.7187031,0.642248,-0.1982226,,,,,,,,1.314742,1.082471,0.2681512,-0.4430253,0.7792614,-0.01149936,0.4431118,1.332322,1.068657,0.273838,0.05807326,0.3917967,0.4380475,0.8069928,False,False,None,False,False,None,None
1768994504981,19.64126,0.1401433,0.009175062,-0.1488576,0.7410729,0.6500146,0.1666427,0.02285112,0.125627,0.00395298,0.2466984,0.1780182,0.7186952,0.6422658,-0.1981955,,,,,,,,1.31465,1.082401,0.2682196,-0.4428974,0.7793144,-0.01160867,0.4431436,1.332229,1.068608,0.2739968,0.05805031,0.3916908,0.4379647,0.8070907,False,False,None,False,False,None,None
1768994504993,19.65376,0.1401027,0.009109259,-0.1486962,0.741085,0.650007,0.1666205,0.02283875,0.125592,0.003991127,0.2467087,0.1780463,0.7186775,0.6422586,-0.1982575,,,,,,,,1.31473,1.082551,0.2683609,-0.4428025,0.7793023,-0.01166456,0.4432582,1.332217,1.068602,0.2740056,0.05796181,0.3916212,0.4379223,0.8071539,False,False,None,False,False,None,None
1768994505004,19.66485,0.1400824,0.00913763,-0.1486046,0.7410772,0.650005,0.1666686,0.02279677,0.1255692,0.00392437,0.2467224,0.1780265,0.7187002,0.642239,-0.1982564,,,,,,,,1.314604,1.082578,0.26832,-0.4428535,0.779265,-0.01172284,0.4432713,1.332232,1.068548,0.2741054,0.05802444,0.3914733,0.4377938,0.8072908,False,False,None,False,False,None,None
1768994505016,19.67686,0.1400363,0.009104252,-0.1486044,0.7410476,0.6500377,0.1666723,0.0227992,0.1255085,0.003973246,0.2466824,0.1780517,0.7186621,0.6422693,-0.1982743,,,,,,,,1.314699,1.082556,0.2684189,-0.4428484,0.779298,-0.01154956,0.4432229,1.332461,1.068321,0.2739639,0.05841411,0.3916475,0.4376202,0.8072723,False,False,None,False,False,None,None
1768994505028,19.68831,0.139982,0.00906682,-0.1486272,0.7410272,0.6500396,0.1667577,0.02278466,0.1254346,0.003921509,0.2467035,0.1780391,0.7186737,0.6422508,-0.1983034,,,,,,,,1.31469,1.082596,0.268429,-0.4430446,0.7792426,-0.01136713,0.443129,1.332627,1.068305,0.2740016,0.05859833,0.3918216,0.4377536,0.8071021,False,False,None,False,False,None,None
1768994505040,19.70012,0.1399403,0.00908637,-0.1487756,0.7410288,0.6500428,0.1667379,0.02278926,0.12543,0.003933191,0.2467168,0.1780367,0.7186867,0.6422409,-0.1982904,,,,,,,,1.31465,1.082697,0.2682245,-0.4433032,0.7791887,-0.01127131,0.4429676,1.332543,1.068382,0.273884,0.058407,0.3918657,0.438179,0.8068638,False,False,None,False,False,None,None
1768994505050,19.71153,0.1399897,0.009119749,-0.1488305,0.7410572,0.6500011,0.1667713,0.02280679,0.1254649,0.003934622,0.2465063,0.1780246,0.7187039,0.6422262,-0.1982866,,,,,,,,1.314587,1.082604,0.2680768,-0.4435652,0.7791411,-0.01128127,0.4427888,1.332426,1.068461,0.2738504,0.05849122,0.3920549,0.4382908,0.8067049,False,False,None,False,False,None,None
1768994505063,19.72312,0.1400245,0.009189129,-0.1489422,0.7410345,0.6500382,0.1667301,0.02278947,0.1254853,0.004003763,0.2464922,0.1780322,0.7187231,0.642218,-0.1982365,,,,,,,,1.31469,1.082637,0.2680059,-0.4436142,0.7791771,-0.0112907,0.4426761,1.332472,1.06854,0.2737747,0.05841315,0.392201,0.4382473,0.8066633,False,False,None,False,False,None,None
1768994505073,19.73466,0.1400775,0.009278774,-0.1490057,0.7410957,0.6499776,0.1666884,0.02283403,0.1255246,0.004050016,0.2464474,0.1779572,0.7187064,0.6422593,-0.1982308,,,,,,,,1.314711,1.082681,0.268035,-0.4436691,0.7791755,-0.01127477,0.4426242,1.332452,1.068907,0.2737198,0.05838878,0.3923134,0.43847,0.8064893,False,False,None,False,False,None,None
1768994505086,19.74642,0.1400858,0.009254456,-0.1488612,0.7410792,0.6499819,0.1667506,0.02278974,0.1254755,0.004022598,0.2465313,0.178001,0.7187358,0.6422052,-0.19826,,,,,,,,1.314715,1.082699,0.2680293,-0.4438343,0.7790916,-0.01122903,0.4426075,1.332457,1.068939,0.2736995,0.05840186,0.3923329,0.4386638,0.8063735,False,False,None,False,False,None,None
